eliminatoreliminator,team1,neutralvenue,balls_per_over,venue,season,date,team2,player_of_match,winner_wickets,winner_runs,city,winner,match_number,toss_winner,toss_decision,matchId,match_type
,Royal Challengers Bengaluru,FALSE,6,MA Chidambaram Stadium,2024,22-03-2024,Chennai Super Kings,Mustafizur Rahman,6,0,Chennai,Chennai Super Kings,1,Royal Challengers Bengaluru,bat,1422119,League
,Delhi Capitals,FALSE,6,Maharaja Yadavindra Singh International Cricket Stadium,2024,23-03-2024,Punjab Kings,SM Curran,4,0,Mohali,Punjab Kings,2,Punjab Kings,field,1422120,League
,Kolkata Knight Riders,FALSE,6,Eden Gardens,2024,23-03-2024,Sunrisers Hyderabad,AD Russell,0,4,Kolkata,Kolkata Knight Riders,3,Sunrisers Hyderabad,field,1422121,League
,Rajasthan Royals,FALSE,6,Sawai Mansingh Stadium,2024,24-03-2024,Lucknow Super Giants,SV Samson,0,20,Jaipur,Rajasthan Royals,4,Rajasthan Royals,bat,1422122,League
,Gujarat Titans,FALSE,6,Narendra Modi Stadium,2024,24-03-2024,Mumbai Indians,B Sai Sudharsan,0,6,Ahmedabad,Gujarat Titans,5,Mumbai Indians,field,1422123,League
,Punjab Kings,FALSE,6,M Chinnaswamy Stadium,2024,25-03-2024,Royal Challengers Bengaluru,V Kohli,4,0,Bengaluru,Royal Challengers Bengaluru,6,Royal Challengers Bengaluru,field,1422124,League
,Chennai Super Kings,FALSE,6,MA Chidambaram Stadium,2024,26-03-2024,Gujarat Titans,S Dube,0,63,Chennai,Chennai Super Kings,7,Gujarat Titans,field,1422125,League
,Sunrisers Hyderabad,FALSE,6,Rajiv Gandhi International Stadium,2024,27-03-2024,Mumbai Indians,Abhishek Sharma,0,31,Hyderabad,Sunrisers Hyderabad,8,Mumbai Indians,field,1422126,League
,Rajasthan Royals,FALSE,6,Sawai Mansingh Stadium,2024,28-03-2024,Delhi Capitals,R Parag,0,12,Jaipur,Rajasthan Royals,9,Delhi Capitals,field,1422127,League
,Royal Challengers Bengaluru,FALSE,6,M Chinnaswamy Stadium,2024,29-03-2024,Kolkata Knight Riders,SP Narine,7,0,Bengaluru,Kolkata Knight Riders,10,Kolkata Knight Riders,field,1422128,League
,Lucknow Super Giants,FALSE,6,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,2024,30-03-2024,Punjab Kings,MP Yadav,0,21,Lucknow,Lucknow Super Giants,11,Lucknow Super Giants,bat,1422129,League
,Sunrisers Hyderabad,FALSE,6,Narendra Modi Stadium,2024,31-03-2024,Gujarat Titans,MM Sharma,7,0,Ahmedabad,Gujarat Titans,12,Sunrisers Hyderabad,bat,1422130,League
,Delhi Capitals,FALSE,6,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2024,31-03-2024,Chennai Super Kings,KK Ahmed,0,20,Visakhapatnam,Delhi Capitals,13,Delhi Capitals,bat,1422131,League
,Mumbai Indians,FALSE,6,Wankhede Stadium,2024,01-04-2024,Rajasthan Royals,TA Boult,6,0,Mumbai,Rajasthan Royals,14,Rajasthan Royals,field,1422132,League
,Lucknow Super Giants,FALSE,6,M Chinnaswamy Stadium,2024,02-04-2024,Royal Challengers Bengaluru,MP Yadav,0,28,Bengaluru,Lucknow Super Giants,15,Royal Challengers Bengaluru,field,1422133,League
